Matrix Multiplication,Vector Transformation
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,0
3.95061e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,0
0,0
3.95061e-07,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,0
3.95061e-07,0
0,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,0
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,0
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
7.90122e-07,0
3.95061e-07,0
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
0,0
0,3.95061e-07
0,0
0,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,0
0,0
0,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
0,0
3.95061e-07,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
0,0
0,0
0,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
0,0
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,0
0,0
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,0
0,0
0,0
3.95061e-07,0
0,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,0
3.95061e-07,0
3.95061e-07,3.95061e-07
0,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
2.76543e-06,3.95061e-07
0,0
0,0
0,0
3.95061e-07,0
7.90122e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,3.95061e-07
0,0
3.95061e-07,3.95061e-07
2.05432e-05,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
0,0
3.95061e-07,0
3.95061e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,0
3.95061e-07,3.95061e-07
0,0
0,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,0
0,0
0,0
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,0
0,0
0,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,0
3.95061e-07,0
3.95061e-07,0
1.97531e-06,0
0,0
0,0
0,3.95061e-07
3.95061e-07,0
0,0
0,0
0,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
0,0
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,3.95061e-07
0,0
3.95061e-07,3.95061e-07
0,0
0,0
0,3.95061e-07
3.95061e-07,3.95061e-07
0,3.95061e-07
0,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,0
0,0
0,0
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,0
0,0
0,0
0,0
7.90122e-07,3.95061e-07
0,3.95061e-07
0,0
3.95061e-07,0
0,3.95061e-07
0,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
0,0
3.95061e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,3.95061e-07
0,0
0,0
3.95061e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,7.90122e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
0,0
0,0
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
7.90122e-07,0
0,0
3.95061e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,0
0,0
0,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
0,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
0,0
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,0
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
0,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
0,0
0,0
0,0
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,0
0,0
0,3.95061e-07
0,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
1.18518e-06,3.95061e-07
3.95061e-07,3.95061e-07
7.90122e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
0,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,0
0,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,0
0,3.95061e-07
0,0
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,0
0,0
1.18518e-06,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
0,0
3.95061e-07,0
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
3.95061e-07,3.95061e-07
